experiment,track,method,source_dir,std_current,std_ratio_to_lr_current,mean_gradient_current,p95_gradient_current,artifact_score_current,contour_chamfer_lr_px_current,nrmse_to_bicubic_current,corr_to_bicubic_current,std_baseline,std_ratio_to_lr_baseline,mean_gradient_baseline,p95_gradient_baseline,artifact_score_baseline,contour_chamfer_lr_px_baseline,nrmse_to_bicubic_baseline,corr_to_bicubic_baseline,std_delta_vs_baseline,std_ratio_to_lr_delta_vs_baseline,mean_gradient_delta_vs_baseline,p95_gradient_delta_vs_baseline,artifact_score_delta_vs_baseline,contour_chamfer_lr_px_delta_vs_baseline,nrmse_to_bicubic_delta_vs_baseline,corr_to_bicubic_delta_vs_baseline
ncc_init_psf05,highpass,bicubic,output/ep06_sr_poc_data_driven_align_sweep/ncc_init_psf05,0.2056510895490646,0.9851925696223134,0.45210662484169,0.8844174742698669,0.3049172759056091,0.0379357062485899,0.0,1.0000001192092896,0.2056510895490646,0.9851925696223134,0.45210662484169,0.8844174742698669,0.3049172759056091,0.0379357062485899,0.0,1.0000001192092896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ncc_init_psf05,highpass,saa_uniform,output/ep06_sr_poc_data_driven_align_sweep/ncc_init_psf05,0.1945424526929855,0.9319755090502584,0.1673209369182586,0.4428426027297973,0.1559018194675445,0.0111111111111111,0.3522719740867615,0.9359588027000428,0.1923338323831558,0.9213948876534432,0.1613291651010513,0.4419779777526855,0.1413498371839523,0.0111111111111111,0.3518176674842834,0.936076283454895,0.002208620309829712,0.010580621396815149,0.005991771817207309,0.0008646249771118164,0.014551982283592196,0.0,0.00045430660247808285,-0.0001174807548521839
ncc_init_psf05,highpass,saa_weighted,output/ep06_sr_poc_data_driven_align_sweep/ncc_init_psf05,0.1948322355747223,0.9333637435717324,0.167308047413826,0.4433252513408661,0.1561533808708191,0.0111111111111111,0.3518977463245392,0.9361141920089722,0.1925522834062576,0.922441399613376,0.1609515845775604,0.4426531493663788,0.1410039067268371,0.0111111111111111,0.351573497056961,0.9361682534217834,0.0022799521684646884,0.01092234395835634,0.006356462836265592,0.0006721019744873047,0.015149474143981989,0.0,0.0003242492675781805,-5.40614128112793e-05
ncc_init_psf05,highpass,ibp,output/ep06_sr_poc_data_driven_align_sweep/ncc_init_psf05,0.2009052187204361,0.9624569902144708,0.1795774400234222,0.4492515325546264,0.1693025976419448,0.0111111111111111,0.3565213084220886,0.93522447347641,0.2051060646772384,0.9825815722521566,0.1788391172885894,0.4986503720283508,0.1455090641975402,0.0111111111111111,0.3585404753684997,0.935563623905182,-0.004200845956802313,-0.020124582037685745,0.0007383227348328192,-0.049398839473724365,0.023793533444404602,0.0,-0.0020191669464110773,-0.00033915042877197266
ncc_init_psf05,highpass,map_tv,output/ep06_sr_poc_data_driven_align_sweep/ncc_init_psf05,0.1976792812347412,0.9470028068792814,0.1401887834072113,0.4323405623435974,0.1571957916021347,0.0157134840263677,0.3554808497428894,0.9350584149360656,0.195114254951477,0.9347147862288736,0.1362661272287368,0.4323444962501526,0.1437276154756546,0.0157134840263677,0.3542787432670593,0.9352462291717528,0.0025650262832642157,0.012288020650407794,0.0039226561784745095,-3.933906555175781e-06,0.013468176126480103,0.0,0.0012021064758300781,-0.00018781423568725586
ncc_init_psf05,raw_control_highpass_visual,saa_weighted,output/ep06_sr_poc_data_driven_align_sweep/ncc_init_psf05,0.1949096769094467,,0.1683761477470398,0.4444599151611328,0.160527229309082,0.0111111111111111,0.3527861833572387,0.9357897639274596,0.192632257938385,,0.1620118916034698,0.4430623352527618,0.1449246257543563,0.0111111111111111,0.3525073230266571,0.9358184337615968,0.002277418971061679,,0.006364256143570002,0.0013975799083710272,0.015602603554725702,0.0,0.00027886033058160953,-2.8669834137184935e-05
ncc_init_psf05,raw_control_highpass_visual,ibp,output/ep06_sr_poc_data_driven_align_sweep/ncc_init_psf05,0.2010506689548492,,0.181302785873413,0.4568637013435364,0.1732684522867202,0.0111111111111111,0.358423113822937,0.934561848640442,0.2052346169948578,,0.1803490817546844,0.4999977350234985,0.1488667726516723,0.0111111111111111,0.3602421581745147,0.9349921941757202,-0.0041839480400086,,0.0009537041187286099,-0.0431340336799621,0.024401679635047885,0.0,-0.0018190443515777033,-0.0004303455352782093
ncc_init_psf05,raw_control_highpass_visual,map_tv,output/ep06_sr_poc_data_driven_align_sweep/ncc_init_psf05,0.1982397139072418,,0.1475253999233245,0.4386155903339386,0.1565408110618591,0.0111111111111111,0.3565523624420166,0.934742271900177,0.1956989020109176,,0.1438415050506591,0.439756691455841,0.1432497054338455,0.0157134840263677,0.3554321825504303,0.934861421585083,0.0025408118963241855,,0.0036838948726654053,-0.0011411011219024103,0.01329110562801361,-0.0046023729152566,0.0011201798915863037,-0.00011914968490600586
tuned_contour_refined_psf05,highpass,lr_reference,output/ep06_sr_poc_data_driven_align_sweep/tuned_contour_refined_psf05,0.2087420225143432,1.0,0.4945129454135895,0.9737042188644408,0.5554681420326233,0.0222222222222222,0.2553842961788177,0.9679874777793884,0.2087420225143432,1.0,0.4945129454135895,0.9737042188644408,0.5554681420326233,0.0222222222222222,0.2553842961788177,0.9679874777793884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tuned_contour_refined_psf05,highpass,bicubic,output/ep06_sr_poc_data_driven_align_sweep/tuned_contour_refined_psf05,0.2056510895490646,0.9851925696223134,0.45210662484169,0.8844174742698669,0.3049172759056091,0.0379357062485899,0.0,1.0000001192092896,0.2056510895490646,0.9851925696223134,0.45210662484169,0.8844174742698669,0.3049172759056091,0.0379357062485899,0.0,1.0000001192092896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tuned_contour_refined_psf05,highpass,saa_uniform,output/ep06_sr_poc_data_driven_align_sweep/tuned_contour_refined_psf05,0.1921490579843521,0.9205097070052054,0.1623648852109909,0.4431078433990478,0.1422095894813537,0.0111111111111111,0.3503421545028686,0.9366321563720704,0.1923338323831558,0.9213948876534432,0.1613291651010513,0.4419779777526855,0.1413498371839523,0.0111111111111111,0.3518176674842834,0.936076283454895,-0.00018477439880368318,-0.0008851806482378377,0.001035720109939603,0.0011298656463623047,0.0008597522974014005,0.0,-0.001475512981414795,0.000555872917175404
tuned_contour_refined_psf05,highpass,saa_weighted,output/ep06_sr_poc_data_driven_align_sweep/tuned_contour_refined_psf05,0.1924002319574356,0.9217129816025196,0.1627851724624633,0.4439904391765594,0.1417002379894256,0.0111111111111111,0.3499922156333923,0.9367608428001404,0.1925522834062576,0.922441399613376,0.1609515845775604,0.4426531493663788,0.1410039067268371,0.0111111111111111,0.351573497056961,0.9361682534217834,-0.00015205144882199373,-0.0007284180108564353,0.0018335878849028986,0.0013372898101806086,0.000696331262588501,0.0,-0.0015812814235687256,0.0005925893783569336
tuned_contour_refined_psf05,highpass,ibp,output/ep06_sr_poc_data_driven_align_sweep/tuned_contour_refined_psf05,0.1975289732217788,0.9462827409761544,0.172595590353012,0.4487626552581787,0.1530430912971496,0.0111111111111111,0.3522464334964752,0.9362292289733888,0.2051060646772384,0.9825815722521566,0.1788391172885894,0.4986503720283508,0.1455090641975402,0.0111111111111111,0.3585404753684997,0.935563623905182,-0.0075770914554596225,-0.0362988312760022,-0.006243526935577393,-0.049887716770172064,0.007534027099609403,0.0,-0.006294041872024481,0.0006656050682067871
tuned_contour_refined_psf05,highpass,map_tv,output/ep06_sr_poc_data_driven_align_sweep/tuned_contour_refined_psf05,0.1946022510528564,0.9322619792068212,0.1362442523241043,0.4326412975788116,0.1438670605421066,0.0157134840263677,0.3527868092060089,0.935771346092224,0.195114254951477,0.9347147862288736,0.1362661272287368,0.4323444962501526,0.1437276154756546,0.0157134840263677,0.3542787432670593,0.9352462291717528,-0.0005120038986206055,-0.0024528070220524167,-2.1874904632485093e-05,0.0002968013286590021,0.0001394450664519986,0.0,-0.001491934061050415,0.0005251169204711914
tuned_contour_refined_psf05,raw_control_highpass_visual,saa_weighted,output/ep06_sr_poc_data_driven_align_sweep/tuned_contour_refined_psf05,0.1924744546413421,,0.1638318598270416,0.4447652399539947,0.1449358463287353,0.0111111111111111,0.3508470058441162,0.9364421367645264,0.192632257938385,,0.1620118916034698,0.4430623352527618,0.1449246257543563,0.0111111111111111,0.3525073230266571,0.9358184337615968,-0.0001578032970429022,,0.001819968223571805,0.0017029047012329102,1.122057437899504e-05,0.0,-0.0016603171825408936,0.0006237030029295765
tuned_contour_refined_psf05,raw_control_highpass_visual,ibp,output/ep06_sr_poc_data_driven_align_sweep/tuned_contour_refined_psf05,0.1977208405733108,,0.1746683567762375,0.4582131803035736,0.1562524884939193,0.0111111111111111,0.3547600507736206,0.9353301525115968,0.2052346169948578,,0.1803490817546844,0.4999977350234985,0.1488667726516723,0.0111111111111111,0.3602421581745147,0.9349921941757202,-0.0075137764215469915,,-0.005680724978446905,-0.04178455471992487,0.0073857158422469815,0.0,-0.0054821074008941095,0.00033795833587657587
tuned_contour_refined_psf05,raw_control_highpass_visual,map_tv,output/ep06_sr_poc_data_driven_align_sweep/tuned_contour_refined_psf05,0.1951902359724044,,0.1438155323266983,0.4401774406433105,0.1437928974628448,0.0157134840263677,0.3540100753307342,0.9353521466255188,0.1956989020109176,,0.1438415050506591,0.439756691455841,0.1432497054338455,0.0157134840263677,0.3554321825504303,0.934861421585083,-0.0005086660385132113,,-2.5972723960793198e-05,0.0004207491874694824,0.0005431920289993009,0.0,-0.0014221072196961004,0.000490725040435791
