method,stage,frequency_um_inv,period_um,frc,threshold_1_7,threshold_half_bit,n_ring_pixels,hr_pitch_um,pixel_size_um
maptv_new_vs_drz,before,0.03794642857142857,26.35294117647059,0.7914874373944246,0.14285714285714285,0.1982882926807455,2876,10.0,20.0
maptv_new_vs_drz,before,0.03805803571428571,26.275659824046922,0.7776866914473756,0.14285714285714285,0.19802651424106882,2934,10.0,20.0
maptv_new_vs_drz,before,0.03816964285714285,26.198830409356727,0.7800858459916542,0.14285714285714285,0.1981069271457448,2916,10.0,20.0
maptv_new_vs_drz,before,0.038281249999999996,26.12244897959184,0.784539667714473,0.14285714285714285,0.1982152991985056,2892,10.0,20.0
maptv_new_vs_drz,before,0.03839285714285714,26.04651162790698,0.7789642397524109,0.14285714285714285,0.19793802214251247,2954,10.0,20.0
maptv_new_vs_drz,before,0.03850446428571429,25.97101449275362,0.784177736175838,0.14285714285714285,0.19782430484837527,2980,10.0,20.0
maptv_new_vs_drz,before,0.03861607142857143,25.89595375722543,0.785549538206749,0.14285714285714285,0.19825172071105046,2884,10.0,20.0
maptv_new_vs_drz,before,0.03872767857142857,25.821325648414984,0.752759062118621,0.14285714285714285,0.1978156184587228,2982,10.0,20.0
maptv_new_vs_drz,before,0.038839285714285715,25.74712643678161,0.7582546200241426,0.14285714285714285,0.19760123472388125,3032,10.0,20.0
maptv_new_vs_drz,before,0.03895089285714286,25.673352435530084,0.7536640094549341,0.14285714285714285,0.1981609467848357,2904,10.0,20.0
maptv_new_vs_drz,before,0.0390625,25.6,0.7642565247633027,0.14285714285714285,0.1975253385684874,3050,10.0,20.0
maptv_new_vs_drz,before,0.03917410714285714,25.527065527065528,0.764152505957982,0.14285714285714285,0.19784170365088652,2976,10.0,20.0
maptv_new_vs_drz,before,0.039285714285714285,25.454545454545457,0.7413807856780555,0.14285714285714285,0.1976097089758139,3030,10.0,20.0
maptv_new_vs_drz,before,0.03939732142857143,25.38243626062323,0.7353030402404257,0.14285714285714285,0.1977550552720954,2996,10.0,20.0
maptv_new_vs_drz,before,0.03950892857142857,25.310734463276837,0.7567161441578861,0.14285714285714285,0.19765220529146557,3020,10.0,20.0
maptv_new_vs_drz,before,0.03962053571428571,25.23943661971831,0.7599360825630886,0.14285714285714285,0.1975085631250675,3054,10.0,20.0
maptv_new_vs_drz,before,0.039732142857142855,25.168539325842698,0.7640138010300623,0.14285714285714285,0.19770347780800562,3008,10.0,20.0
maptv_new_vs_drz,before,0.03984375,25.098039215686278,0.7752898980593445,0.14285714285714285,0.19743347590385044,3072,10.0,20.0
maptv_new_vs_drz,before,0.03995535714285714,25.027932960893857,0.7395191778528031,0.14285714285714285,0.19739204277139769,3082,10.0,20.0
maptv_new_vs_drz,before,0.04006696428571428,24.95821727019499,0.7506192992798939,0.14285714285714285,0.1976692624332035,3016,10.0,20.0
maptv_new_vs_drz,before,0.040178571428571425,24.888888888888893,0.759762433834749,0.14285714285714285,0.19731796447605393,3100,10.0,20.0
maptv_new_vs_drz,before,0.04029017857142857,24.81994459833795,0.7736330524240617,0.14285714285714285,0.1974251732503782,3074,10.0,20.0
maptv_new_vs_drz,before,0.040401785714285716,24.75138121546961,0.748963577771693,0.14285714285714285,0.19745010534200189,3068,10.0,20.0
maptv_new_vs_drz,before,0.04051339285714286,24.683195592286502,0.7325615737719102,0.14285714285714285,0.19736727869292328,3088,10.0,20.0
maptv_new_vs_drz,before,0.040625,24.615384615384613,0.7345049675348237,0.14285714285714285,0.1970358524551192,3170,10.0,20.0
maptv_new_vs_drz,before,0.040736607142857144,24.54794520547945,0.7339078425682631,0.14285714285714285,0.197483461108339,3060,10.0,20.0
maptv_new_vs_drz,before,0.040848214285714286,24.48087431693989,0.7324440291396224,0.14285714285714285,0.19717976864090656,3134,10.0,20.0
maptv_new_vs_drz,before,0.04095982142857143,24.4141689373297,0.6938618191677084,0.14285714285714285,0.19701210252814472,3176,10.0,20.0
maptv_new_vs_drz,before,0.04107142857142857,24.347826086956523,0.7118761231118887,0.14285714285714285,0.19738378012086183,3084,10.0,20.0
maptv_new_vs_drz,before,0.041183035714285714,24.281842818428185,0.7202397749303837,0.14285714285714285,0.19695694455425367,3190,10.0,20.0
maptv_new_vs_drz,before,0.041294642857142856,24.216216216216218,0.751150602287999,0.14285714285714285,0.1970755845534379,3160,10.0,20.0
maptv_new_vs_drz,before,0.04140625,24.150943396226417,0.6930831275924044,0.14285714285714285,0.1970755845534379,3160,10.0,20.0
maptv_new_vs_drz,before,0.04151785714285714,24.086021505376344,0.724720843759955,0.14285714285714285,0.19706762319057258,3162,10.0,20.0
maptv_new_vs_drz,before,0.041629464285714284,24.021447721179626,0.7365077449325662,0.14285714285714285,0.19698053952908048,3184,10.0,20.0
maptv_new_vs_drz,before,0.041741071428571426,23.9572192513369,0.71302596501574,0.14285714285714285,0.19696480220931625,3188,10.0,20.0
maptv_new_vs_drz,before,0.04185267857142857,23.893333333333334,0.720753823018605,0.14285714285714285,0.19690995197425074,3202,10.0,20.0
maptv_new_vs_drz,before,0.04196428571428571,23.829787234042556,0.6918749404176752,0.14285714285714285,0.1966864592271897,3260,10.0,20.0
maptv_new_vs_drz,before,0.04207589285714285,23.766578249336874,0.639692545401875,0.14285714285714285,0.19691776587158633,3200,10.0,20.0
maptv_new_vs_drz,before,0.042187499999999996,23.703703703703706,0.6667637991025754,0.14285714285714285,0.19692558703358493,3198,10.0,20.0
maptv_new_vs_drz,before,0.04229910714285714,23.641160949868077,0.666840730466467,0.14285714285714285,0.19662584390434415,3276,10.0,20.0
maptv_new_vs_drz,before,0.04241071428571429,23.57894736842105,0.6806603020811449,0.14285714285714285,0.1967398616607217,3246,10.0,20.0
maptv_new_vs_drz,before,0.04252232142857143,23.517060367454068,0.6817134887774245,0.14285714285714285,0.1969334154715303,3196,10.0,20.0
maptv_new_vs_drz,before,0.04263392857142857,23.455497382198953,0.6594074266033253,0.14285714285714285,0.19662584390434415,3276,10.0,20.0
maptv_new_vs_drz,before,0.042745535714285715,23.39425587467363,0.7009132397793064,0.14285714285714285,0.19658818240465054,3286,10.0,20.0
maptv_new_vs_drz,before,0.04285714285714286,23.333333333333332,0.6863985234613503,0.14285714285714285,0.19656566720869945,3292,10.0,20.0
maptv_new_vs_drz,before,0.04296875,23.272727272727273,0.6510449333587818,0.14285714285714285,0.19674751854137398,3244,10.0,20.0
maptv_new_vs_drz,before,0.04308035714285714,23.212435233160623,0.7076730427119925,0.14285714285714285,0.19627841680223054,3370,10.0,20.0
maptv_new_vs_drz,before,0.043191964285714285,23.152454780361758,0.6830750242451373,0.14285714285714285,0.19665609640424975,3268,10.0,20.0
maptv_new_vs_drz,before,0.04330357142857143,23.09278350515464,0.6613671214900637,0.14285714285714285,0.1965506909503124,3296,10.0,20.0
maptv_new_vs_drz,before,0.04341517857142857,23.033419023136247,0.6450111097495097,0.14285714285714285,0.19635112163071453,3350,10.0,20.0
maptv_new_vs_drz,before,0.04352678571428571,22.974358974358974,0.6507271129472942,0.14285714285714285,0.19649105513285683,3312,10.0,20.0
maptv_new_vs_drz,before,0.043638392857142855,22.915601023017903,0.6667076285628565,0.14285714285714285,0.1965506909503124,3296,10.0,20.0
maptv_new_vs_drz,before,0.04375,22.857142857142858,0.633339617187399,0.14285714285714285,0.19620635084804425,3390,10.0,20.0
maptv_new_vs_drz,before,0.04386160714285714,22.798982188295167,0.5823355219189871,0.14285714285714285,0.19627118161272125,3372,10.0,20.0
maptv_new_vs_drz,before,0.04397321428571428,22.741116751269036,0.6537323792456085,0.14285714285714285,0.19639505513636507,3338,10.0,20.0
maptv_new_vs_drz,before,0.044084821428571425,22.683544303797472,0.6686390338772505,0.14285714285714285,0.19614203002159336,3408,10.0,20.0
maptv_new_vs_drz,before,0.04419642857142857,22.62626262626263,0.6531177665984734,0.14285714285714285,0.19628565838032241,3368,10.0,20.0
maptv_new_vs_drz,before,0.04430803571428571,22.569269521410583,0.6467401849458877,0.14285714285714285,0.19630742154042707,3362,10.0,20.0
maptv_new_vs_drz,before,0.04441964285714286,22.51256281407035,0.6394577947945804,0.14285714285714285,0.19604297333067175,3436,10.0,20.0
maptv_new_vs_drz,before,0.04453125,22.45614035087719,0.6035339424372262,0.14285714285714285,0.19624230455271754,3380,10.0,20.0
maptv_new_vs_drz,before,0.044642857142857144,22.4,0.5876932251320403,0.14285714285714285,0.19616341405099993,3402,10.0,20.0
maptv_new_vs_drz,before,0.044754464285714286,22.34413965087282,0.6255166990729096,0.14285714285714285,0.19608527866196232,3424,10.0,20.0
maptv_new_vs_drz,before,0.04486607142857143,22.28855721393035,0.6441635826193272,0.14285714285714285,0.19608527866196232,3424,10.0,20.0
maptv_new_vs_drz,before,0.04497767857142857,22.233250620347395,0.6418105167383973,0.14285714285714285,0.19586903899227384,3486,10.0,20.0
maptv_new_vs_drz,before,0.045089285714285714,22.17821782178218,0.6481305404607439,0.14285714285714285,0.19609942947499998,3420,10.0,20.0
maptv_new_vs_drz,before,0.045200892857142856,22.123456790123456,0.6485295351975632,0.14285714285714285,0.19598690683769954,3452,10.0,20.0
maptv_new_vs_drz,before,0.0453125,22.06896551724138,0.6483109464862704,0.14285714285714285,0.19578686266146458,3510,10.0,20.0
maptv_new_vs_drz,before,0.04542410714285714,22.014742014742016,0.6394234332642974,0.14285714285714285,0.195959018311031,3460,10.0,20.0
